#,Kanji,Radical,# Strokes,Grade,Meaning,Readings
796,嗣 ,口 ,13,S ,heir ,シ
802,雌 ,隹 ,14,S ,feminine ,シ、め、めす
803,摯 ,手 ,15,S ,seriousness ,シ
804,賜 ,貝 ,15,S ,grant ,シ、たまわ-る
805,諮 ,言 ,16,S ,consult with ,シ、はか-る
815,侍 ,人 ,8,S ,waiter ,ジ、さむらい
819,滋 ,水 ,12,S ,nourishing ,ジ
820,慈 ,心 ,13,S ,mercy ,ジ、いつく-しむ
823,餌 [8] ,食 ,15,S ,bait ,ジ、えさ、え
824,璽 ,玉 ,19,S ,emperor's seal ,ジ
825,鹿 ,鹿 ,11,S ,deer ,しか、（か）、ロク
828,軸 ,車 ,12,S ,axis ,ジク
830,𠮟 [5] ,口 ,5,S ,scold ,シツ、しか-る
833,疾 ,疒 ,10,S ,rapidly ,シツ
834,執 ,土 ,11,S ,tenacious ,シツ、シュウ、と-る
835,湿 ,水 ,12,S ,damp ,シツ、しめ-る、しめ-す
836,嫉 ,女 ,13,S ,envy ,シツ
837,漆 ,水 ,14,S ,lacquer ,シツ、うるし
840,芝 ,艸 ,6,S ,turf ,しば
848,赦 ,赤 ,11,S ,pardon ,シャ
849,斜 ,斗 ,11,S ,diagonal ,シャ、なな-め
850,煮 ,火 ,12,S ,boil ,シャ、に-る、に-える、に-やす
851,遮 ,辵 ,14,S ,intercept ,シャ、さえぎ-る
853,邪 ,邑 ,8,S ,wicked ,ジャ
854,蛇 ,虫 ,11,S ,snake ,ジャ、ダ、へび
857,酌 ,酉 ,10,S ,bartending ,シャク、く-む
858,釈 ,釆 ,11,S ,explanation ,シャク
859,爵 ,爪 ,17,S ,baron ,シャク
862,寂 ,宀 ,11,S ,loneliness ,ジャク、（セキ）、さび、さび-しい、さび-れる
866,朱 ,木 ,6,S ,vermilion ,シュ
868,狩 ,犬 ,9,S ,hunt ,シュ、か-る、か-り
870,殊 ,歹 ,10,S ,particularly ,シュ、こと
871,珠 ,玉 ,10,S ,pearl ,シュ
873,腫 ,肉 ,13,S ,tumor ,シュ、は-れる、は-らす
875,趣 ,走 ,15,S ,gist ,シュ、おもむき
876,寿 ,士 ,7,S ,longevity ,ジュ、ことぶき
878,呪 ,口 ,8,S ,curse ,ジュ、のろ-う
880,需 ,雨 ,14,S ,demand ,ジュ
881,儒 ,人 ,16,S ,Confucian ,ジュ
884,囚 ,囗 ,5,S ,captured ,シュウ
886,舟 ,舟 ,6,S ,boat ,シュウ、ふね、（ふな）
887,秀 ,禾 ,7,S ,excel ,シュウ、ひい-でる
